name,Age,Experience (Years),Salary ($),Department,profit,Satisfaction Level,Work Hours Per Week,Projects Handled,Certifications,Remote Work (Days/Week),Parameter_1,Parameter_2,Parameter_3,Parameter_4,Parameter_5,Parameter_6,Parameter_7,Parameter_8,Parameter_9,Parameter_10,Parameter_11,Parameter_12,Parameter_13,Parameter_14,Parameter_15,Parameter_16,Parameter_17,Parameter_18,Parameter_19,Parameter_20,Parameter_21,Parameter_22,Parameter_23,Parameter_24,Parameter_25,Parameter_26,Parameter_27,Parameter_28,Parameter_29,Parameter_30,Parameter_31,Parameter_32,Parameter_33,Parameter_34,Parameter_35,Parameter_36,Parameter_37,Parameter_38,Parameter_39,Parameter_40,Parameter_41,Parameter_42,Parameter_43,Parameter_44,Parameter_45,Parameter_46,Parameter_47,Parameter_48,Parameter_49
Employee_14,35,7,57718,Marketing,3,0.4824387596805515,46,8,4,3,43,0.5298825078778979,Low,95,0.8720243837262206,High,8,0.3522299552315677,Medium,6,0.8426096830238294,Medium,96,0.0558894066977262,High,34,0.6265452529326734,Low,11,0.17291891224505,Low,34,0.7660344283579671,Low,6,0.6285216177166363,Low,58,0.9309352129802771,High,77,0.6731947217553176,High,82,0.5939168815546547,Medium,67,0.1283862336592497,Low,48,0.1155112064756359,High,14,0.1100969969448923,Medium,93,0.004006431487456,Medium,97
Employee_15,32,4,144781,Sales,4,0.073707968365111,46,17,4,4,60,0.9941296447282552,High,50,0.9899981207083522,Medium,82,0.4794902847426286,High,85,0.5347897895248351,High,11,0.7018471572282085,Low,47,0.8989280619921026,Medium,30,0.0807315059625083,High,48,0.0587375392711094,Medium,80,0.1907200622176249,Medium,72,0.9189938782428764,Medium,28,0.3661986957278963,Low,66,0.0800988585499786,Medium,77,0.7532738946564498,Medium,85,0.5591410890376797,Low,29,0.5678557741239689,Medium,27,0.8026004079033221,High,84
Employee_16,36,3,70595,Finance,8,0.6299488011256117,41,6,4,4,82,0.5687367461322836,High,35,0.977712853355735,Medium,89,0.1459482105386893,Medium,87,0.5085830974980728,Low,12,0.5178955700851431,Medium,9,0.7564972109649553,High,59,0.8583639846448093,Low,64,0.8921629792222919,High,27,0.1598923997319132,Medium,19,0.1521576089450892,Medium,13,0.9038463419232784,Low,68,0.7040718402524101,Low,2,0.5683818329043763,Medium,65,0.3535148549840285,High,31,0.6074783999258192,High,92,0.5013941254626564,Medium,58
Employee_17,40,19,109670,Finance,6,0.2105256168133209,47,2,1,0,36,0.9318137292862309,Medium,77,0.6143924227652419,Low,2,0.8029280595352298,Medium,80,0.4055380995441855,Low,82,0.0873089801198666,Medium,40,0.1181315274142745,Low,41,0.8293429884373581,Low,18,0.6944048915314109,Low,81,0.8413092395738178,High,65,0.2064914038904083,Medium,84,0.5053387999093871,Low,84,0.8845434159897562,Low,10,0.7991140885957274,Medium,9,0.7926026288637589,High,98,0.9021084508349788,Medium,28,0.9244992039034282,Low,88
Employee_18,34,4,118543,IT,7,0.284552800253805,38,15,4,1,17,0.3190192641220728,Medium,50,0.5055199539710808,Medium,80,0.9182710920507956,Medium,1,0.9507685830368546,Medium,29,0.3572049150256361,Medium,84,0.3442138728991707,High,33,0.378991996500108,Medium,20,0.2580132625211873,High,80,0.4387955114327295,Low,99,0.9502929032822665,Low,4,0.7128882394287869,Low,24,0.7681419087272362,Medium,65,0.9449153339875918,Medium,87,0.8288645769891532,Medium,3,0.628523593177262,Medium,36,0.7506357647494291,High,66
Employee_19,25,32,77609,Sales,7,0.017139481081173,30,9,4,4,99,0.7506854521269962,Low,35,0.2665390812280164,Medium,24,0.6275168120241018,Low,68,0.6948544550821065,Low,49,0.4043310798812621,Medium,59,0.5479565560012885,High,89,0.5711061364840921,Low,93,0.2383343842505391,Low,37,0.4935369802361478,Medium,44,0.138778631777962,Medium,56,0.4325772464753367,Low,70,0.2743597987557433,Low,41,0.6898857125144195,Low,27,0.515522288286382,High,21,0.403152028317474,Medium,48,0.9149348888097716,High,57
Employee_20,59,9,33557,Marketing,7,0.2545797316261027,47,10,2,4,91,0.641344938332939,High,60,0.4440005697461578,Medium,74,0.7873269399948433,Low,5,0.2701373325326009,Medium,99,0.7885455415598013,Low,40,0.9513239341079428,Medium,63,0.4037110150558318,Low,38,0.4680010130843332,Low,56,0.1613017141972615,Low,89,0.8237428810395603,High,7,0.0962619420554834,Medium,82,0.8743313922260035,High,89,0.7711535886279834,High,23,0.3836980456786275,High,8,0.6859622361923463,Medium,9,0.984078456528976,Low,29
Employee_21,54,32,133526,IT,8,0.3881866578484135,35,15,1,4,30,0.3634271642670617,High,2,0.2435761114062775,Medium,34,0.2782508632033094,High,76,0.1856082339568679,Medium,11,0.4028861774640211,Medium,18,0.5814618317973848,High,49,0.7112784318127489,High,42,0.5803629583168557,Low,96,0.8369550068866011,High,77,0.6728712827730499,Medium,97,0.3272604001813129,Medium,48,0.3636278229346729,High,74,0.9699660380692348,Low,96,0.7959012009245028,Medium,61,0.5777645189956931,Low,25,0.8234929093349241,Medium,60
Employee_22,57,2,45791,Finance,6,0.6600691815287226,40,3,2,0,88,0.3275100246053108,Low,57,0.3135886986629335,Medium,25,0.2742606633721154,Low,76,0.4829167433613102,High,4,0.4515661953741563,Low,17,0.4346608246038519,High,88,0.9452646998460676,Medium,81,0.7060249355002012,Low,34,0.9914181246979992,High,29,0.3397086295362012,Low,16,0.7698911573240614,High,20,0.2443409564668841,Medium,17,0.849051886224626,Low,87,0.1967918854957177,Low,48,0.0893919558233413,Medium,11,0.1478440013084178,Low,23
Employee_23,34,36,128342,Marketing,5,0.985147065450704,55,10,4,1,9,0.3174772543175529,Low,4,0.3515998168359974,Medium,2,0.3408652163118998,High,20,0.0407077819001157,Low,1,0.4521161379069545,Low,89,0.245295230136967,High,51,0.2207738867473471,High,56,0.328764230551325,Low,65,0.4427346603714664,Low,20,0.4410305085410779,Medium,82,0.5645598771516993,Medium,88,0.9353676441969708,Medium,16,0.5250653852458218,Low,20,0.6831434208931281,Medium,92,0.1000267299606118,Medium,63,0.0346759460479206,High,47
Employee_24,59,5,107583,Marketing,6,0.0886581778064896,39,8,4,4,92,0.750298951139392,Medium,88,0.2944149926471595,Low,85,0.1714537311388435,High,79,0.879621991674334,Low,96,0.7769599565501064,High,28,0.9458153074292456,High,71,0.7746194922383661,High,4,0.5240556701645063,High,54,0.1684633638839313,Medium,50,0.03874334573647,High,95,0.9533873122188716,High,76,0.5762741576922894,High,36,0.4249741623025651,Medium,75,0.0392329243837752,Medium,32,0.9540761006460012,Medium,16,0.4982504717590159,Low,41
Employee_25,24,13,65117,Sales,4,0.8421400311069366,57,8,4,0,17,0.5828903105102275,Medium,32,0.6934906420557574,Medium,74,0.5433111329754358,Medium,6,0.5469080255878321,Low,80,0.2134875401368797,Low,58,0.6843385261551037,Low,80,0.236769252878944,Low,13,0.3590978938856043,Medium,18,0.3418371586226312,Low,70,0.8291726812577516,Medium,66,0.4232226037324487,Medium,36,0.7187295530769848,Low,74,0.3256906401484976,Medium,70,0.2500302421490403,Medium,45,0.5823643740246959,Low,2,0.3171745855429729,Medium,39
Employee_26,44,21,57562,Sales,8,0.7140015864535695,56,5,4,0,94,0.2713353299757575,Low,18,0.9952197883662048,Medium,87,0.4440066215929366,Low,28,0.7856258069332979,Low,54,0.5187125854252244,Low,53,0.6636187751480779,High,53,0.1880317009533981,Medium,51,0.2276755196430829,High,74,0.7178683342651409,Low,73,0.1614555841203039,High,81,0.1668369729674459,Low,82,0.608948114749102,Medium,5,0.1515033221124269,Medium,16,0.9653879404093804,High,86,0.5405809918384987,High,32,0.4364700683073135,Low,66
Employee_27,46,7,119323,Marketing,3,0.0098091605573451,35,9,0,0,33,0.7368869728647418,Low,47,0.2012260561425908,High,27,0.0582733287048908,High,94,0.0981022399077631,Low,91,0.9945876239892902,High,12,0.8335657574554853,Low,9,0.4379086510488273,High,86,0.5798717850705989,High,21,0.8847089406154225,High,50,0.3489891036004696,Low,52,0.3181108629239626,Medium,50,0.8757311454886617,Medium,36,0.4758638564326319,Medium,25,0.1434769034584236,Medium,81,0.1529379446286959,High,38,0.072622308100305,High,4
Employee_28,43,2,45205,Sales,6,0.2844193739485737,47,12,1,4,63,0.4286714673810021,High,22,0.8155239788649215,Low,49,0.7108207335068709,Low,76,0.1737938680511482,Medium,8,0.9820389459565194,Low,9,0.5816136241351043,Medium,17,0.2477876636850237,Medium,4,0.7370653371845606,Medium,14,0.4478036505531961,High,28,0.7603787453668692,Low,61,0.5892136407959574,Medium,38,0.4396945136668859,Medium,72,0.2189018487282227,Low,2,0.9319032794442242,High,55,0.0989466797944201,Medium,97,0.1515203234630966,Medium,60
Employee_29,39,28,56523,Finance,2,0.6409176057723437,55,3,0,2,95,0.2264286181952913,High,51,0.2949525004633232,Medium,10,0.8432604796750081,Low,3,0.9489365272967242,High,79,0.5521551708870402,Low,85,0.0124561585361315,Low,67,0.6098815905797604,Medium,13,0.4606925626855971,High,92,0.3428295442230028,High,23,0.2980616882812879,Medium,30,0.9934746611893516,Low,17,0.3452564388268243,Low,29,0.4912079994962544,Medium,93,0.7992305617306387,High,93,0.7428778607476331,Medium,43,0.279537540483169,High,64
Employee_30,59,31,53028,IT,2,0.2948353389439909,47,1,1,3,56,0.877860054038337,High,95,0.3071833375820699,Medium,1,0.9917877022396548,High,59,0.0202877219690001,Low,21,0.30160090443331,High,54,0.3002358690647995,High,25,0.2073412638090965,Low,1,0.4540926159900605,Medium,21,0.7794581828810287,Medium,16,0.7740439482273176,Low,20,0.9227357506128896,High,16,0.4662167730438564,Medium,9,0.8159491238183971,Low,63,0.3169148083597833,Low,9,0.1815858732838344,Medium,7,0.3156714008213629,High,17
Employee_31,23,16,66784,HR,8,0.8758516634479829,54,4,2,0,83,0.053470479129335,Medium,74,0.1479542198709565,High,53,0.8419105535579261,Medium,57,0.3511244765869483,Low,13,0.3894321615999133,Medium,53,0.5355895438020919,Medium,3,0.0303020024763353,Medium,87,0.4776971726437083,High,98,0.1192193380365862,Low,14,0.3203326870802276,High,64,0.4696543228422591,High,26,0.5815384577312307,Low,94,0.0766908888286979,High,12,0.1995159950155389,Medium,12,0.9041089943803544,High,91,0.2573541699141713,High,36
Employee_32,51,27,116877,Finance,7,0.6233879303348733,39,18,0,2,35,0.2461047726528277,Medium,39,0.2515148155949398,Medium,78,0.7566610721765462,High,6,0.7648435343128299,Low,89,0.4472358710814346,Medium,14,0.2308090142630259,High,12,0.101031324263357,High,6,0.5980884085193443,Low,27,0.6525602191649423,High,40,0.6546280049415671,High,43,0.6862528832997628,High,71,0.9195711329368405,Low,67,0.5755816877039129,Medium,73,0.5371224059877843,High,55,0.9986114556469394,Medium,73,0.4979209290094913,High,38
Employee_33,23,34,130454,Finance,3,0.8129354942505647,50,19,0,4,6,0.9406457723571364,Medium,46,0.9447572354047864,Low,51,0.963502829852647,Low,13,0.789592123251405,Medium,43,0.4106756626911328,High,43,0.5778407742624903,Low,16,0.6821344437205746,High,18,0.5839722741646635,High,44,0.2849089539596143,Low,94,0.376053296061513,High,3,0.3976697348449487,Medium,38,0.68369446625713,Medium,51,0.2863169965568827,High,31,0.9759591487804594,High,56,0.7522154453146216,Low,77,0.3488661977511464,Low,34
Employee_34,22,32,71293,Marketing,7,0.6885502603862752,30,9,1,0,96,0.5554239333109914,High,34,0.0990922595111092,High,6,0.3650664976964157,Low,59,0.7344839721255815,Low,96,0.4477344232461393,Medium,11,0.0038015706292565,Low,98,0.1550397235609536,Medium,33,0.2433125140255242,High,78,0.4931736467139486,High,22,0.5017556516321711,Low,73,0.2687129010806055,Low,27,0.5740005589659553,Low,47,0.7978724001218533,Low,96,0.4936618954540087,Low,33,0.0481969100359882,Medium,91,0.2063389282430273,Medium,16
Employee_35,46,35,144164,Sales,2,0.993547846448156,35,1,0,0,10,0.5227238599593109,High,24,0.6033834983694645,Low,18,0.1810070060149664,Low,57,0.2509084694092677,Low,6,0.9284844000860768,Low,69,0.0620995083564174,Low,62,0.1118520448893158,Medium,76,0.1566862813127851,Medium,59,0.2027671286060904,Medium,15,0.2959130644893598,Low,42,0.62362363344973,High,57,0.8931636191518785,Low,87,0.9896568260105704,Medium,96,0.6288360849846528,Medium,36,0.0965581836686088,Low,35,0.0105597944614879,Low,11
Employee_36,46,29,108493,HR,4,0.8133418841934251,32,5,3,4,9,0.0811669410376274,High,6,0.0585526830281475,High,95,0.5235171057495509,Low,90,0.7182684456411109,High,64,0.5603689730106377,High,56,0.2656701350496432,High,72,0.6049473725067692,Low,58,0.074392734323391,Medium,5,0.3344495192239571,High,97,0.2059688198192253,Low,69,0.2047865453522213,Medium,55,0.8371852436182095,Low,19,0.650657832196236,Low,11,0.6810333687984296,High,22,0.9227796209003708,Medium,17,0.3595867816121717,Medium,74
Employee_37,43,18,45315,Marketing,7,0.0249720351458425,35,10,0,0,99,0.9628713638226803,Low,21,0.7266656941458338,Low,87,0.5763054497163358,Low,48,0.4050092696997951,High,82,0.5691565701220647,Low,50,0.6002886080647728,Low,96,0.7675422212491154,High,94,0.8805700192628741,High,59,0.9874281287196512,High,10,0.5424394730240214,Low,87,0.397448803807801,Low,1,0.0885221265210494,Low,56,0.3075727269308492,Low,35,0.7148779028724803,Low,54,0.8006789302121119,Medium,71,0.9123409383333568,Low,68
Employee_38,56,36,103814,Finance,3,0.6456559474790413,46,12,2,0,78,0.942228002899835,High,95,0.1485876076352978,High,67,0.3369208385197448,High,28,0.6914175634291952,Medium,95,0.1051309314322874,Medium,17,0.8972991899196091,Medium,18,0.3444185833516752,Low,53,0.1326919817554411,High,65,0.680205422452045,Medium,56,0.650011681558078,Low,11,0.337008593408224,Medium,95,0.9959592052843148,Medium,12,0.6247507969982442,High,24,0.6687069345719783,Low,64,0.9994919078944612,High,12,0.7027081428818781,High,86
Employee_39,47,21,77347,HR,2,0.172356051727056,50,17,4,3,61,0.9890412055531196,Low,3,0.3410703982011214,Low,76,0.608147676869679,Low,66,0.1088652853783975,High,94,0.4798527513769702,Medium,29,0.9789518498621456,Low,44,0.4301748757232779,Medium,75,0.6860440119920997,High,29,0.4657358206532492,Low,71,0.3442835525995578,Medium,91,0.9172904845336488,Medium,47,0.4519263171097403,Low,6,0.1856025431018295,Medium,84,0.2813229110529502,Low,7,0.4634205477267287,High,70,0.312055969729182,High,95
Employee_40,58,2,82010,HR,7,0.1097219583763775,57,6,1,2,69,0.9662404637570616,Medium,68,0.5369886506359622,High,90,0.3348466324431575,Low,22,0.6314980040451945,High,48,0.0368276899611267,Medium,80,0.3793253940325535,Low,86,0.8757432680642003,High,42,0.9320527116815472,Medium,90,0.736135597035389,Low,23,0.071910414487237,High,38,0.0516853564134563,Low,97,0.2412486477021503,Medium,50,0.7203334480930101,Low,3,0.0175296445131591,High,34,0.1218327063000236,Low,57,0.9140376461943877,High,82
Employee_41,31,18,53182,HR,8,0.8581274549290875,54,4,4,1,81,0.3987571945041411,Medium,14,0.7045337503976389,High,48,0.8409715215966355,High,2,0.5975525096841873,Medium,34,0.5503518050276853,High,31,0.79460734599651,High,35,0.2657522861847412,Low,30,0.9767510035352248,Low,60,0.8921005743605301,Low,21,0.0648613038583481,High,21,0.3552357428290441,Low,62,0.4048318977453946,Medium,88,0.1349327711345641,High,50,0.1683701780590956,Low,40,0.6730970971654141,Medium,65,0.0191448994338778,Medium,23
Employee_42,59,30,103890,Marketing,4,0.7267649122400135,31,8,3,1,25,0.4342426705853951,High,98,0.9120091573095638,High,77,0.3506351576972082,High,4,0.517512826951567,High,47,0.422654190767972,Medium,93,0.4675614149507816,Medium,81,0.8026296806618406,Medium,92,0.3218488834851488,High,4,0.8074909700282871,Medium,30,0.5335445584994046,Low,71,0.9816591219062222,Low,38,0.5402116439944288,Low,58,0.810775921560735,Low,39,0.9886063278349232,High,24,0.7703550174946104,Low,96,0.985543040857926,High,14
Employee_43,23,18,53377,Sales,2,0.4462668002210432,52,6,1,4,58,0.8943867776707429,High,91,0.9954003032999316,Low,72,0.3424826812541912,Low,71,0.7094320709015938,Low,61,0.5305714529399598,Low,86,0.9507751221483016,High,99,0.0437244184247825,High,98,0.5535253789679067,High,80,0.3845006505368302,Medium,43,0.998506335235088,High,51,0.0555950256737978,Low,4,0.7014568799441603,Low,74,0.6923564831238259,High,79,0.992713882775032,Low,72,0.8342756851775426,High,94,0.9899315729418912,Medium,65
Employee_44,43,0,121423,Finance,5,0.3186771413291703,42,13,2,3,55,0.326132958162157,Low,35,0.1584918696727295,Medium,65,0.8876706342821643,Medium,55,0.2121122920569551,Medium,98,0.6509609014408863,Medium,71,0.3215446709129212,Low,6,0.8301344537873491,Low,50,0.4218940330525975,High,80,0.4459169749432953,Low,81,0.388764317735729,Medium,60,0.2874166151071762,Medium,30,0.1332249904363431,Low,60,0.242493226923493,Low,98,0.3720843095193503,High,61,0.6100454542386273,High,26,0.7879234180112897,Medium,49
Employee_45,26,9,44028,Finance,1,0.5317900314494918,54,12,4,4,85,0.918540578757854,Medium,72,0.2338603334513799,High,88,0.518770377960638,High,91,0.6256221178084692,Medium,56,0.484737156167727,Low,15,0.2466176040665844,Medium,15,0.3901488573176687,Medium,66,0.3893296876035165,Low,84,0.4803713098078918,High,68,0.4589259201062282,Medium,75,0.8689232839029931,High,50,0.53182637725587,Medium,55,0.4388382044480895,Low,9,0.0867420456942952,Low,29,0.1145191014665403,Low,11,0.9663393552395104,High,1
Employee_46,25,19,109460,Marketing,7,0.1114392708980408,57,11,1,4,84,0.1725843202255469,Low,70,0.2682154525680446,Low,34,0.250147902369821,Low,10,0.4118134215390129,High,41,0.3330323465628123,Low,41,0.9558717361698832,Low,88,0.7057360416235304,Medium,3,0.9272974747639904,Medium,53,0.4882692322345175,Low,99,0.4500462370789848,Low,19,0.2696606677780016,High,53,0.7428131975591218,Medium,74,0.1088985694631514,Low,38,0.6802243958971008,Medium,38,0.327643139905617,Medium,95,0.6562170734483522,High,80
Employee_47,36,14,43566,IT,7,0.7571106666137982,33,3,4,3,48,0.1710714897079358,Medium,60,0.6934697331113592,Medium,50,0.328759979898323,Medium,52,0.1152310689789712,Low,92,0.3345151450418974,Low,5,0.1058827258688552,Low,43,0.4630321481326604,Low,6,0.9530246520354104,Medium,42,0.0209988378036805,Low,28,0.7960003580109871,Low,6,0.476122813211134,Medium,65,0.7925324196988522,Low,66,0.7794888525997453,Medium,40,0.7632239945182799,Low,75,0.2942361879580084,Medium,44,0.9954164608697278,High,87
Employee_48,40,22,108239,Marketing,7,0.8635096530511208,34,11,4,0,40,0.4034886004268115,High,66,0.6168996114786441,High,4,0.4950015511578539,Medium,42,0.0395991844742723,Medium,91,0.7733387831492236,Low,10,0.8218583179115767,Low,27,0.9470105481739376,Low,5,0.2548664610678512,High,41,0.6105815154035567,Low,27,0.8595650357847091,High,73,0.1209466198678089,Medium,63,0.9143824546988308,Medium,95,0.2711004790122809,Low,56,0.8492981348662703,Low,65,0.0963177575236314,Low,42,0.8905426853538945,High,10
Employee_49,26,26,74189,IT,6,0.2117241819453659,38,6,1,1,92,0.7789306465618199,High,11,0.8313290837860033,Low,77,0.9216493675095532,Low,84,0.9239371965692588,Low,51,0.2936822862339113,Medium,4,0.6886128940621479,High,51,0.6523222938952631,Medium,4,0.0632705447325325,Medium,81,0.8731247559260825,Low,52,0.4050740806110131,High,84,0.7463085389719435,Medium,62,0.2435146851208141,Medium,13,0.6506107248542,Low,24,0.6939573711887331,Low,89,0.6760212946906763,High,91,0.0967348235313628,Low,69
Employee_50,27,23,123325,Marketing,9,0.1814997828048565,34,8,1,4,80,0.6618283290489363,Medium,87,0.8667716106906518,Low,83,0.5851895457602131,High,91,0.2570042672935367,High,49,0.2950729933675674,Medium,6,0.4681912621390095,Low,74,0.5261870892662905,Medium,34,0.996658274791849,Low,88,0.2025363742504646,Low,74,0.5755257458605118,Low,91,0.2496316360348622,Low,46,0.3408693479830823,High,19,0.3324759330927721,High,54,0.5577102690158263,Low,85,0.1252508786135525,Low,53,0.8673725031474793,Medium,51
